address,Receive,Receive_USD,First_Receive_Date,Spend,Spend_USD,Last_Spend_Date,Balance,Balance_USD
3M76bH3EeY4VPFL4MeciXYvugQYuCgVxPv,47.10075694,2067535.275,12/16/2021,47.10075694,2065943.349,1/25/2022,0,1591.925992
3MDvqPSzFrhFykQ1NSty7fSFok7e59n7AZ,6.52437891,248390.8627,3/18/2021,6.52421053,242239.2711,9/28/2022,0.00016838,6151.591646
3MTrkxSsXYZzqCb9j5ZCVhfaXHduweL9Cg,39073.97469,1527040418,8/17/2020,39073.97469,1528267589,8/29/2022,0,-1227171.605
3MWAX7AZQPy9iwn29L4mSRUVafyECTBDBU,0.34328492,12865.3361,1/22/2022,0.34328492,15177.23851,3/25/2022,0,-2311.902407
3MkRuXhMgd7X1aVE2zv51LvY4g83CxXayg,23.93392947,865966.8655,5/15/2021,23.933924,865679.4159,7/8/2021,5.47E-06,287.4495471
3N2DFP8unS98S3eq7MhDiyvDS3krxWsS2H,3.0841288,159292.0715,3/22/2021,3.0841288,159775.9473,5/19/2021,0,-483.8757414
3Pxu7wZaoqEwQNXawFdp64kUA8sUDydogH,6.42864853,348467.3326,11/3/2021,6.42864853,334586.2848,5/12/2022,0,13881.04778
12Fzz2QEMbUSC5Gz2hLE5TKjy7Gb8CSEVn,7.96429693,301339.9118,1/15/2022,7.96429693,301080.3053,2/6/2022,0,259.6064288
158EFd4Tw6b4rB8VtUrVhuSaLPCK4qm5Hs,77.14331456,2005400.206,2/23/2022,77.14248442,2008112.975,10/25/2022,0.00083014,-2712.769079
15AJXZARiqekDGvrAcckTQT27iW15RZxx7,0.10112829,3541.169038,1/22/2022,0.10112829,3950.417846,3/5/2022,0,-409.2488082
15K2nRkZzgT7tq9TVAiQ4eK9xGyevsYf9M,1.39993956,61774.34743,2/3/2022,1.39993956,61599.37962,2/10/2022,0,174.9678103
18rxvv3e74hEL5cFqJ9KH3se5e33GXFvdB,55.22419362,2611682.346,12/21/2021,55.22419362,2603585.37,1/13/2022,0,8096.97621
19W9mcQ5AWQdxuENDtCQZTmAxnvWkfoeGy,2.77507642,110717.6523,1/21/2022,2.77507642,110675.7327,2/10/2022,0,41.91952877
1A12AdvbprWUmW7YaGqrvgVRKtR64RgY7,20.38894232,728716.8763,4/7/2022,20.38894232,730679.144,5/22/2022,0,-1962.267695
1BZcAwSrXg8SDQ2pypTUWwJp5Xj1NaUyHK,0.85872657,31907.18916,2/24/2022,0.85872657,32788.56806,3/8/2022,0,-881.3789013
1BzaWb4joxZpawXiACuGGM8neSm1AiJNnh,0.20013,8773.400081,1/12/2022,0.20013,8787.230347,1/13/2022,0,-13.8302668
1EKHwwwnSaUKnw3EBEkzGa8Pr5cdvYAYR2,2.20804458,94393.54845,2/10/2022,2.20804458,94344.27405,2/19/2022,0,49.27439275
1EhVmqSfhssvXFo9znAtmFubraKc8G6kh1,6.92701243,157810.1476,12/7/2021,6.92701243,156433.4017,10/27/2022,0,1376.745911
1FCQ62D9xmCAV3fwvCj9ktuRpr8Bvba2Bo,0.45784674,11120.14118,4/25/2022,0.45784674,10506.48789,8/26/2022,0,613.6532895
1G1jHfKL3Ubo7J23z1jyWTYLST8UkcRBT3,0.36105614,17996.85347,6/25/2021,0.36105614,17563.61877,5/31/2022,0,433.2347049
1GBLemnL9ERWH8hiA9K3MrmSgZTYFyS5TZ,5.25726117,169427.4173,3/29/2022,5.25726117,169738.2835,5/21/2022,0,-310.866182
